dataset.id,melody.id,note.id,melody.name,distance,canseekey,canseedoor,agentbehindleft,agentbehindright,agentinfrontright,agentinfrontleft,agentleft,agentright,agentbehind,agentinfront,doorquad,keyquad,agentquad,agenty,agentx,orientation,action,vertint12,articulation,comma,voice,ornament,dyn,phrase,bioi,deltast,accidental,mpitch,cpitch,barlength,pulses,tempo,mode,keysig,dur,onset,action.order.ltm.action,action.order.stm.action,action.weight.ltm,action.weight.stm,action.weight.ltm.action,action.weight.stm.action,action.probability,action.information.content,action.entropy,action.0,action.1,action.2,action.3,action.4,action.5,probability,information.content,entropy,information.gain,
33,1,16,"m0",1,0,1,1,1,1,1,1,1,1,1,4,0,3,5,3,0,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,360,1,1,0.8048369,0.19516312,1.0,1.0,0.56508714,0.82345474,1.8457458,0.0018847374,0.56508714,0.12197308,0.14990607,0.09312961,0.06801944,0.56508714,0.82345474,1.8457458,8.580764e-5,
33,1,17,"m0",0,0,1,1,1,2,2,1,1,1,2,4,0,3,6,3,0,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,384,1,1,0.774561,0.22543907,1.0,1.0,0.56891614,0.8137121,1.8378984,0.002149748,0.56891614,0.118926845,0.14972991,0.09350975,0.066767596,0.56891614,0.8137121,1.8378984,1.1729961e-4,
33,1,18,"m0",3,0,1,2,1,1,2,2,1,2,1,4,0,3,6,3,1,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,408,1,1,0.7410912,0.25890884,1.0,0.99999994,0.14935012,2.7432296,1.8283166,0.0024833623,0.57351714,0.11550441,0.14935012,0.093815416,0.06532945,0.14935012,2.7432296,1.8283166,1.5717791e-4,
33,1,19,"m0",2,0,1,2,1,1,2,2,1,2,1,4,0,4,6,4,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,432,1,1,0.5354648,0.46453515,1.0,1.0,0.69073665,0.5337923,1.5488253,0.011851296,0.69073665,0.04886193,0.094087295,0.07855668,0.075906195,0.69073665,0.5337923,1.5488253,0.093329996,
33,1,20,"m0",1,0,1,2,1,1,4,2,1,2,1,4,0,4,6,5,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,456,1,1,0.64502114,0.3549789,1.0,1.0,0.580305,0.7851168,1.8035558,0.0035306625,0.580305,0.09982694,0.16370809,0.094950885,0.05767847,0.580305,0.7851168,1.8035558,0.07735169,
33,1,21,"m0",0,0,1,2,1,2,2,4,1,2,2,4,0,4,6,6,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,480,1,1,0.59609157,0.40390843,1.0,0.99999994,0.5891486,0.7632966,1.781916,0.004275646,0.5891486,0.093820624,0.16354185,0.09441364,0.054799713,0.5891486,0.7632966,1.781916,5.7699485e-4,
33,1,22,"m0",0,0,1,1,2,2,2,1,2,1,4,4,0,4,6,6,0,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,504,1,1,0.54609865,0.45390138,1.0,1.0,0.0877221,3.5109158,1.7574123,0.0051796534,0.5990271,0.0877221,0.16275112,0.09351101,0.051809024,0.0877221,3.5109158,1.7574123,6.6948123e-4,
33,1,23,"m0",0,0,1,1,2,2,2,1,2,1,4,4,0,4,6,6,0,5,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,528,1,1,0.9493536,0.050646424,1.0,0.99999994,0.134049,2.8991675,1.6010175,0.0039225197,0.65321803,0.064298496,0.039198466,0.10531351,0.134049,0.134049,2.8991675,1.6010175,0.2137133,
33,2,1,"m1",5,1,1,2,2,1,2,2,1,2,1,4,3,3,6,1,1,0,NA,0,0,1,0,0,1,0,0,0,40,69,96,4,NA,0,2,24,0,0,0,0.83296186,0.16703811,1.0,1.0,0.08556949,3.5467596,2.2234013,0.08556949,0.4602187,0.1325388,0.15053402,0.08556949,0.08556949,0.08556949,3.5467596,2.2234013,NA,
33,2,2,"m1",4,1,1,2,1,5,2,2,1,2,1,4,3,3,6,2,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,24,1,0,0.88865554,0.111344464,0.99999994,1.0,0.41761371,1.259759,1.7634354,0.0043704673,0.41761371,0.20192297,0.33463237,0.03771885,0.0037416748,0.41761371,1.259759,1.7634354,0.6652099,
