dataset.id,melody.id,note.id,melody.name,distance,canseekey,canseedoor,agentbehindleft,agentbehindright,agentinfrontright,agentinfrontleft,agentleft,agentright,agentbehind,agentinfront,doorquad,keyquad,agentquad,agenty,agentx,orientation,action,vertint12,articulation,comma,voice,ornament,dyn,phrase,bioi,deltast,accidental,mpitch,cpitch,barlength,pulses,tempo,mode,keysig,dur,onset,action.order.ltm.action,action.order.stm.action,action.weight.ltm,action.weight.stm,action.weight.ltm.action,action.weight.stm.action,action.probability,action.information.content,action.entropy,action.0,action.1,action.2,action.3,action.4,action.5,probability,information.content,entropy,information.gain,
33,858,2,"m857",4,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,24,1,0,0.8940284,0.10597157,1.0,1.0,0.33479542,1.5786483,1.7462592,0.003903156,0.424118,0.19825438,0.33479542,0.035562143,0.0033668512,0.33479542,1.5786483,1.7462592,0.6957107,
33,858,3,"m857",1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,2,2,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,48,2,0,0.9442934,0.055706665,1.0,1.0,0.19555287,2.3543694,1.674181,3.4847824e-4,0.5738685,0.15284751,0.19555287,0.06456741,0.012815274,0.19555287,2.3543694,1.674181,0.1255932,
33,858,4,"m857",0,1,1,1,1,1,1,1,1,1,5,1,1,1,2,2,3,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,72,3,1,0.881713,0.11828707,1.0,1.0,0.10789786,3.2122617,1.6831657,0.02251626,0.6460707,0.1064674,0.10789786,0.08446382,0.0325839,0.10789786,3.2122617,1.6831657,0.105015166,
33,858,5,"m857",1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,2,3,4,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,96,4,1,0.9032496,0.09675034,1.0,1.0,0.08759416,3.5130215,1.2494861,0.015833292,0.77240145,0.04112504,0.05920704,0.08759416,0.023838999,0.08759416,3.5130215,1.2494861,0.09475649,
33,858,6,"m857",0,0,1,1,1,2,4,1,1,1,2,1,0,1,2,1,3,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,120,4,0,0.7461687,0.2538313,1.0,1.0,0.28248787,1.823739,2.2701209,0.06532081,0.28248787,0.27497515,0.25925472,0.06532081,0.05264067,0.28248787,1.823739,2.2701209,0.85946566,
33,858,7,"m857",1,0,1,1,2,4,1,1,2,1,1,1,0,1,2,1,2,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,144,4,0,0.9443964,0.055603635,1.0,1.0,0.28661045,1.8028369,1.7030922,7.2177834e-5,0.45311365,0.28661045,0.22860691,0.0067832223,0.02481355,0.28661045,1.8028369,1.7030922,0.7501665,
33,858,8,"m857",0,0,1,1,2,2,2,1,4,1,2,1,0,1,1,1,2,1,NA,0,0,1,0,0,-1,24,0,0,40,69,96,4,NA,0,2,24,168,5,0,0.99879336,0.0012065877,1.0,1.0,0.79263186,0.3352771,0.9838325,0.0017867152,0.79263186,0.0055154813,0.004204158,0.054092787,0.14176898,0.79263186,0.3352771,0.9838325,2.502818,
33,858,9,"m857",0,0,1,2,1,2,2,2,1,2,4,1,0,1,1,1,3,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,192,6,1,0.9919691,0.008030895,1.0,1.0,0.11417437,3.1306894,1.2377291,0.0034919237,0.7549951,0.010781252,0.11417437,0.0688546,0.047702726,0.11417437,3.1306894,1.2377291,0.23248872,
33,858,10,"m857",0,0,1,2,1,2,2,2,1,2,4,1,0,1,1,1,3,5,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,216,5,1,0.9935044,0.006495603,1.0,1.0,0.73468935,0.44479373,1.1182662,0.0013591887,0.18685389,0.003097376,0.004027398,0.06997288,0.73468935,0.73468935,0.44479373,1.1182662,1.906266,
33,859,1,"m858",0,1,0,1,1,1,1,1,1,1,5,2,4,4,4,5,0,0,NA,0,0,1,0,0,1,0,0,0,40,69,96,4,NA,0,2,24,0,0,0,0.83231896,0.16768105,1.0,1.0,0.08586675,3.5417566,2.225066,0.08586675,0.45967028,0.1328605,0.14986898,0.08586675,0.08586675,0.08586675,3.5417566,2.225066,NA,
